state,year,renewable_use,total_use,renewable_share,ev_registrations,avg_price,ev_per_energy,renewable_ratio
Alabama,2023,222189,2265008,0.09809634226457478,13047,NA,0.005760244555427619,9.809634226457478
Alaska,2023,10088,746979,0.013505065068763646,2697,NA,0.0036105432682846505,1.3505065068763646
Arizona,2023,108445,1712667,0.06331937265095901,89798,NA,0.05243167527604607,6.331937265095901
Arkansas,2023,87277,1151062,0.07582302256524844,7108,NA,0.006175166932797712,7.5823022565248435
California,2023,1065179,6429818,0.16566238733351396,1256646,NA,0.195440368607634,16.566238733351398
Colorado,2023,115062,1359507,0.08463509198555065,90083,NA,0.06626151980092784,8.463509198555066
Connecticut,2023,48983,789642,0.062031908130519904,31557,NA,0.03996367974347869,6.20319081305199
Delaware,2023,8040,203487,0.03951112356071887,8435,NA,0.04145227950679896,3.951112356071887
District Of Columbia,2023,2796,46323,0.060358785052781555,8066,NA,0.1741251646050558,6.035878505278156
Florida,2023,286307,4237858,0.06755936607597518,254878,NA,0.060143119472148426,6.755936607597518
Georgia,2023,291462,2627553,0.11092526011844481,92368,NA,0.03515362011727261,11.09252601184448
Hawaii,2023,21046,272874,0.07712717224799724,25565,NA,0.09368792922740898,7.712717224799724
Idaho,2023,77127,421975,0.18277623081936134,8501,NA,0.020145743231234078,18.277623081936134
Illinois,2023,245703,3843602,0.06392519308710944,99573,NA,0.025906168224493587,6.392519308710944
Indiana,2023,172891,2403947,0.07191963882731192,26101,NA,0.010857560503621752,7.1919638827311925
Iowa,2023,414801,1466926,0.28276886495978665,9031,NA,0.0061564114345236225,28.276886495978665
Kansas,2023,140268,1087791,0.12894756437587734,11271,NA,0.010361365372576165,12.894756437587734
Kentucky,2023,72603,1509126,0.04810930300054469,11617,NA,0.007697833050388105,4.810930300054469
Louisiana,2023,138982,4000382,0.03474218212160739,8150,NA,0.002037305437330735,3.474218212160739
Maine,2023,89444,328875,0.27196959331052833,7377,NA,0.022431014823261118,27.196959331052835
Maryland,2023,53711,975123,0.05508125641585728,72139,NA,0.07397938516474332,5.508125641585728
Massachusetts,2023,81560,994152,0.08203976856657734,73768,NA,0.07420193290362037,8.203976856657734
Michigan,2023,198458,2693587,0.07367796176622474,50284,NA,0.018668043764689984,7.367796176622473
Minnesota,2023,223864,1601319,0.1397997525789677,37050,NA,0.02313717629029569,13.97997525789677
Mississippi,2023,67304,1247897,0.053933938458061846,3590,NA,0.002876839995608612,5.393393845806185
Missouri,2023,90412,1558397,0.05801602544152742,26861,NA,0.017236301147910322,5.8016025441527415
Montana,2023,58469,458589,0.12749760678952177,4608,NA,0.010048213105852953,12.749760678952176
Nebraska,2023,164503,872370,0.18857021676582184,6920,NA,0.007932413998647364,18.857021676582182
Nevada,2023,74879,701972,0.10666949678904572,47361,NA,0.06746850301721437,10.666949678904572
New Hampshire,2023,38989,347460,0.11221147758015311,9861,NA,0.028380245208081505,11.221147758015311
New Jersey,2023,74409,1879114,0.03959791689061973,134753,NA,0.07171092333940357,3.959791689061973
New Mexico,2023,80278,744229,0.10786733653216954,10276,NA,0.013807578043854782,10.786733653216954
New York,2023,272968,3253913,0.08388915130797904,131250,NA,0.04033605077947689,8.388915130797905
North Carolina,2023,186804,2345624,0.07963936248946975,70164,NA,0.02991272258469388,7.9639362489469745
North Dakota,2023,92154,807945,0.11405974416575386,959,NA,0.0011869619837984022,11.405974416575386
Ohio,2023,153084,3194638,0.04791904434868677,50393,NA,0.015774244217967734,4.791904434868677
Oklahoma,2023,185379,1624822,0.11409188206462,22843,NA,0.014058770745349336,11.409188206462
Oregon,2023,236063,876891,0.26920449633991,64361,NA,0.0733968075849792,26.920449633991
Pennsylvania,2023,178035,4342721,0.040996186492293654,70154,NA,0.016154387997755325,4.099618649229366
Rhode Island,2023,13579,202922,0.06691733769625767,6396,NA,0.031519500103488036,6.691733769625767
South Carolina,2023,142486,1740201,0.08187904730545495,20873,NA,0.01199459142938086,8.187904730545496
South Dakota,2023,126540,363161,0.34844049884211137,1675,NA,0.00461227940224859,34.84404988421114
Tennessee,2023,115679,1814264,0.06376084186204434,33221,NA,0.01831100655692887,6.376084186204434
Texas,2023,791210,14059016,0.05627776510105686,230125,NA,0.01636849975844682,5.627776510105686
Us,2023,8187317,NA,NA,NA,NA,NA,NA
Utah,2023,39675,837605,0.047367195754562115,39998,NA,0.047752819049551996,4.7367195754562115
Vermont,2023,22209,105445,0.21062165109772868,7816,NA,0.07412395087486368,21.062165109772867
Virginia,2023,183978,2004345,0.0917895871219775,84936,NA,0.042375938274099516,9.178958712197751
Washington,2023,365955,1624957,0.22520903630065287,152101,NA,0.0936030922664415,22.520903630065288
West Virginia,2023,28369,1016667,0.02790392527740155,2758,NA,0.0027127859958078703,2.790392527740155
Wisconsin,2023,150965,1562575,0.09661296257779627,24943,NA,0.015962753787818185,9.661296257779627
Wyoming,2023,38474,729911,0.05271053594205321,1139,NA,0.001560464220980366,5.271053594205321
